CustomerID,total_orders,total_items,total_revenue,avg_order_value,unique_products,first_purchase,last_purchase,days_since_last_purchase,customer_lifespan,purchase_frequency,churned,churn_probability,churn_risk
12346,2,0,0.0,0.0,1,2011-01-18 10:01:00,2011-01-18 10:17:00,325,0,2.0,1,0.9999999999913828,High Risk
12347,7,2458,4310.0,23.68131868131868,103,2010-12-07 14:57:00,2011-12-07 15:52:00,1,365,0.0191256830601092,0,1.8466021412731355e-05,Low Risk
12348,4,2341,1797.24,57.97548387096774,22,2010-12-16 19:09:00,2011-09-25 13:13:00,74,282,0.0141342756183745,0,0.1005429653855105,Medium Risk
12349,1,631,1757.55,24.076027397260273,73,2011-11-21 09:51:00,2011-11-21 09:51:00,18,0,1.0,0,0.0001571648770846,Low Risk
12350,1,197,334.4,19.670588235294115,17,2011-02-02 16:01:00,2011-02-02 16:01:00,309,0,1.0,1,0.9999999999704186,High Risk
12352,11,470,1545.41,16.267473684210525,59,2011-02-16 12:33:00,2011-11-03 14:37:00,35,260,0.0421455938697318,0,0.0009559707084634,Medium Risk
12353,1,20,89.0,22.25,4,2011-05-19 17:47:00,2011-05-19 17:47:00,203,0,1.0,1,0.9999955190729708,High Risk
12354,1,530,1079.4,18.610344827586207,58,2011-04-21 13:11:00,2011-04-21 13:11:00,231,0,1.0,1,0.9999997808273254,High Risk
12355,1,240,459.4,35.33846153846154,13,2011-05-09 13:49:00,2011-05-09 13:49:00,213,0,1.0,1,0.9999985017449984,High Risk
12356,3,1591,2811.43,47.65135593220339,53,2011-01-18 09:50:00,2011-11-17 08:40:00,22,302,0.0099009900990099,0,0.0002884517618095,Low Risk
12357,1,2708,6207.67,47.38679389312977,131,2011-11-06 16:07:00,2011-11-06 16:07:00,32,0,1.0,0,0.0005904885491839,Low Risk
12358,2,248,1168.06,61.47684210526315,13,2011-07-12 10:04:00,2011-12-08 10:26:00,1,149,0.0133333333333333,0,3.77306607552048e-05,Low Risk
12359,6,1599,6182.9800000000005,24.63338645418327,214,2011-01-12 12:43:00,2011-12-02 11:21:00,7,323,0.0185185185185185,0,2.8908740744585555e-05,Low Risk
12360,3,1165,2662.06,20.63612403100775,105,2011-05-23 09:43:00,2011-10-18 15:22:00,51,148,0.0201342281879194,0,0.0080857567146436,Medium Risk
12361,1,91,189.9,18.99,10,2011-02-25 13:51:00,2011-02-25 13:51:00,286,0,1.0,1,0.9999999996109006,High Risk
12362,13,2212,5154.58,18.812335766423356,201,2011-02-17 10:30:00,2011-12-06 15:40:00,2,292,0.0443686006825938,0,1.366826777214725e-05,Low Risk
12363,2,408,552.0,24.0,23,2011-04-11 13:29:00,2011-08-22 10:18:00,109,132,0.0150375939849624,1,0.8844036769549216,Medium Risk
12364,4,1506,1313.1,15.448235294117646,70,2011-08-19 15:24:00,2011-12-02 10:22:00,7,104,0.0380952380952381,0,6.479831809923989e-05,Low Risk
12365,3,173,320.69,13.94304347826087,22,2011-02-21 13:51:00,2011-02-21 14:04:00,290,0,3.0,1,0.9999999991179012,High Risk
12367,1,173,168.9,15.354545454545455,11,2011-12-05 16:48:00,2011-12-05 16:48:00,3,0,1.0,0,3.479436418383818e-05,Low Risk
12370,4,2352,3541.94,21.33698795180723,143,2010-12-14 12:58:00,2011-10-19 14:51:00,50,309,0.0129032258064516,0,0.005269422359413,Medium Risk
12371,2,591,1887.96,29.96761904761905,63,2011-10-11 10:43:00,2011-10-26 10:16:00,44,14,0.1333333333333333,0,0.0046658042016785,Medium Risk
12372,3,794,1298.04,24.962307692307693,34,2011-02-16 12:46:00,2011-09-29 12:12:00,71,224,0.0133333333333333,0,0.0798822490099496,Medium Risk
12373,1,197,364.6,26.042857142857144,14,2011-02-01 13:10:00,2011-02-01 13:10:00,310,0,1.0,1,0.9999999999736664,High Risk
12374,1,342,742.9300000000001,22.513030303030305,33,2011-11-14 15:37:00,2011-11-14 15:37:00,24,0,1.0,0,0.0003478602849978,Low Risk
12375,3,177,455.42,25.301111111111112,14,2011-09-02 14:23:00,2011-12-07 11:27:00,2,95,0.03125,0,4.418913929408002e-05,Low Risk
12377,2,944,1628.12,21.144415584415583,72,2010-12-20 09:37:00,2011-01-28 15:45:00,314,39,0.05,1,0.9999999999877032,High Risk
12378,1,2529,4008.62,18.30420091324201,219,2011-08-02 10:34:00,2011-08-02 10:34:00,129,0,1.0,1,0.9678871175720436,Medium Risk
12379,3,406,850.29,20.73878048780488,39,2011-06-22 16:32:00,2011-09-19 10:09:00,81,88,0.0337078651685393,0,0.2371411526058381,Medium Risk
12380,5,1126,2720.56,25.91009523809524,77,2011-06-07 09:49:00,2011-11-18 11:27:00,21,164,0.0303030303030303,0,0.000262787440941,Low Risk
12381,6,783,1803.96,19.823736263736265,70,2011-08-12 09:57:00,2011-12-05 12:44:00,4,115,0.0517241379310344,0,4.0509835683191925e-05,Low Risk
12383,6,1529,1839.31,18.3931,84,2010-12-22 14:28:00,2011-06-08 08:02:00,184,167,0.0357142857142857,1,0.999960016900269,High Risk
12384,3,121,566.16,18.872,26,2011-08-10 11:23:00,2011-11-11 08:39:00,28,92,0.032258064516129,0,0.0008090617197744,Medium Risk
12386,2,354,401.9,40.19,10,2010-12-08 09:53:00,2011-01-06 12:37:00,337,29,0.0666666666666666,1,0.9999999999992208,High Risk
12388,6,1462,2780.66,27.8066,57,2011-01-17 11:12:00,2011-11-24 12:30:00,15,311,0.0192307692307692,0,0.0001138220644582,Low Risk
12390,1,353,549.84,17.1825,32,2011-09-21 09:33:00,2011-09-21 09:33:00,79,0,1.0,0,0.1485100103853023,Medium Risk
12391,1,293,439.66,4.72752688172043,92,2011-11-18 12:07:00,2011-11-18 12:07:00,21,0,1.0,0,0.000221811632335,Low Risk
12393,4,816,1582.6,24.728125,47,2011-01-11 09:47:00,2011-09-28 15:41:00,71,260,0.0153256704980842,0,0.0714304083052442,Medium Risk
12394,2,819,1272.48,47.12888888888889,26,2011-05-06 14:01:00,2011-10-07 08:08:00,63,153,0.0129870129870129,0,0.0387326909948375,Medium Risk
12395,15,2113,2998.28,18.85710691823899,91,2010-12-03 16:35:00,2011-11-24 12:20:00,15,355,0.0421348314606741,0,6.941528384721834e-05,Low Risk
12397,2,1263,2409.9,19.126190476190477,110,2011-07-27 14:21:00,2011-11-04 09:52:00,35,99,0.02,0,0.0014753969732617,Medium Risk
12398,1,1394,1635.66,19.24305882352941,85,2011-10-25 10:27:00,2011-10-25 10:27:00,45,0,1.0,0,0.003271108561861,Medium Risk
12399,4,1178,1108.65,18.790677966101697,47,2011-03-23 09:42:00,2011-08-12 13:15:00,118,142,0.0279720279720279,1,0.94751142400514,Medium Risk
12401,1,11,84.3,16.86,5,2011-02-09 13:50:00,2011-02-09 13:50:00,302,0,1.0,1,0.9999999999369128,High Risk
12402,1,94,225.6,20.509090909090908,11,2011-01-20 13:49:00,2011-01-20 13:49:00,322,0,1.0,1,0.9999999999932784,High Risk
12403,2,95,409.7,68.28333333333333,5,2011-10-21 10:51:00,2011-10-21 11:00:00,49,0,2.0,0,0.0033041919051436,Medium Risk
12405,1,857,1710.39,31.67388888888889,54,2011-07-14 08:52:00,2011-07-14 08:52:00,148,0,1.0,1,0.997414211725913,High Risk
12406,3,1809,3280.75,30.377314814814813,92,2011-06-09 10:23:00,2011-11-17 19:22:00,21,161,0.0185185185185185,0,0.0002757763715829,Low Risk
12407,5,1416,1708.12,22.183376623376624,57,2011-03-20 13:21:00,2011-10-21 10:11:00,49,214,0.0232558139534883,0,0.0063415835750547,Medium Risk
12408,9,1399,2842.57,25.155486725663717,81,2011-03-24 14:46:00,2011-11-07 12:30:00,32,227,0.0394736842105263,0,0.0007090884724967,Low Risk
12409,7,5543,11056.93,96.99061403508772,91,2011-06-10 12:19:00,2011-09-22 10:38:00,78,103,0.0673076923076923,0,0.1073453300564934,Medium Risk
12410,3,209,681.0799999999999,24.32428571428571,26,2011-02-04 10:38:00,2011-02-11 15:47:00,300,7,0.375,1,0.9999999999358588,High Risk
12412,3,829,1226.88,20.112786885245903,43,2011-06-23 13:51:00,2011-09-26 10:16:00,74,94,0.031578947368421,0,0.1214172142373057,Medium Risk
12413,5,282,694.15,17.353749999999998,29,2011-01-06 16:12:00,2011-10-04 09:00:00,66,270,0.018450184501845,0,0.0423279323418321,Medium Risk
12414,3,300,562.41,31.244999999999997,16,2011-02-02 14:51:00,2011-05-06 14:51:00,216,93,0.0319148936170212,1,0.9999992589147356,High Risk
12415,26,77242,123725.45,159.0301413881748,444,2011-01-06 11:12:00,2011-11-15 14:22:00,23,313,0.0828025477707006,0,2.359372116226571e-06,Low Risk
12417,12,1539,3578.8,18.074747474747475,158,2010-12-17 11:51:00,2011-12-06 14:52:00,2,354,0.0338028169014084,0,1.5281044491248818e-05,Low Risk
12418,1,407,668.58,19.664117647058823,34,2011-08-19 11:08:00,2011-08-19 11:08:00,112,0,1.0,1,0.8775099820478428,Medium Risk
12420,1,345,600.39,20.70310344827586,29,2011-10-07 08:55:00,2011-10-07 08:55:00,63,0,1.0,0,0.0279681362210623,Medium Risk
12421,5,483,806.27,17.527608695652173,33,2011-01-24 15:09:00,2011-11-24 09:07:00,15,303,0.0164473684210526,0,0.0001335665404703,Low Risk
12422,3,370,803.5600000000001,20.604102564102565,39,2011-01-19 09:13:00,2011-09-05 09:48:00,95,229,0.0130434782608695,1,0.5646054930958346,Medium Risk
12423,9,1327,1849.11,14.67547619047619,97,2010-12-21 10:54:00,2011-12-09 10:10:00,0,352,0.0254957507082152,0,1.675232653386656e-05,Low Risk
12424,2,740,1760.96,58.69866666666667,30,2011-06-30 12:06:00,2011-06-30 12:06:00,162,0,2.0,1,0.9990457163427529,High Risk
12425,1,496,777.2,21.58888888888889,36,2011-09-22 17:31:00,2011-09-22 17:31:00,77,0,1.0,0,0.1205000862725627,Medium Risk
12426,1,258,582.73,19.424333333333333,30,2011-05-29 12:26:00,2011-05-29 12:26:00,194,0,1.0,1,0.9999867489576932,High Risk
12427,5,236,708.37,20.239142857142856,26,2010-12-03 10:44:00,2011-11-28 10:48:00,11,360,0.0138504155124653,0,8.080440484136844e-05,Low Risk
12428,12,3503,7877.2,26.25733333333333,258,2011-03-01 09:33:00,2011-11-14 08:22:00,25,257,0.0465116279069767,0,0.0001623609237483,Low Risk
12429,4,1557,3750.4,38.66391752577319,82,2010-12-09 12:05:00,2011-11-30 17:22:00,8,356,0.011204481792717,0,4.879943862874337e-05,Low Risk
12430,1,117,256.4,23.30909090909091,11,2011-10-27 15:09:00,2011-10-27 15:09:00,42,0,1.0,0,0.0028105325842685,Medium Risk
12431,18,2858,6348.89,26.56439330543933,163,2010-12-01 10:03:00,2011-11-04 11:55:00,35,338,0.0530973451327433,0,0.0004575845528594,Low Risk
12432,5,1801,5059.32,46.84555555555555,107,2011-06-20 13:27:00,2011-10-28 11:43:00,42,129,0.0384615384615384,0,0.0025208216301295,Medium Risk
12433,7,11071,13375.87,31.847309523809525,219,2010-12-01 13:24:00,2011-12-09 10:02:00,0,372,0.0187667560321715,0,1.0589505805812832e-05,Low Risk
12434,4,373,765.19,14.170185185185186,49,2010-12-14 11:12:00,2011-09-16 12:38:00,84,276,0.0144404332129963,0,0.2505921775008662,Medium Risk
12435,2,2055,7829.89,217.49694444444447,31,2011-03-17 07:40:00,2011-09-21 09:06:00,79,188,0.0105820105820105,0,0.1519663225883581,Medium Risk
12436,1,211,509.01,31.813125,16,2011-09-01 12:09:00,2011-09-01 12:09:00,99,0,1.0,1,0.6317359770944584,Medium Risk
12437,19,2918,4896.66,24.36149253731343,119,2011-01-12 14:13:00,2011-12-08 11:35:00,1,329,0.0575757575757575,0,1.1076382316623842e-05,Low Risk
12438,2,1180,2906.85,29.66173469387755,84,2011-07-22 13:29:00,2011-11-25 13:28:00,13,125,0.0158730158730158,0,0.0001241477350175,Low Risk
12441,1,121,173.55,15.77727272727273,11,2010-12-08 10:45:00,2010-12-08 10:45:00,366,0,1.0,1,0.9999999999999534,High Risk
12442,1,182,172.06,14.338333333333331,12,2011-12-06 14:22:00,2011-12-06 14:22:00,2,0,1.0,0,3.102537914059229e-05,Low Risk
12444,5,1155,5005.46,28.27943502824859,138,2011-06-21 14:00:00,2011-11-18 13:23:00,20,149,0.0333333333333333,0,0.000192955020467,Low Risk
12445,1,62,133.4,33.35,4,2011-11-17 18:43:00,2011-11-17 18:43:00,21,0,1.0,0,0.0002675956961934,Low Risk
12446,1,352,1002.31,17.281206896551726,58,2011-10-13 12:50:00,2011-10-13 12:50:00,57,0,1.0,0,0.0133772404615188,Medium Risk
12447,1,190,476.49,18.326538461538465,26,2011-04-10 13:25:00,2011-04-10 13:25:00,242,0,1.0,1,0.999999941802412,High Risk
